submission_date,code,tot_cases,conf_cases,prob_cases,new_case,pnew_case,tot_death,conf_death,prob_death,new_death,pnew_death,consent_cases,consent_deaths,State
01/30/2021,MS,277283,174760.0,102523.0,777,417.0,6676,4716.0,1960.0,10,4.0,Agree,Agree,Mississippi
11/19/2020,OR,60873,59153.0,1720.0,1204,0.0,808,793.0,15.0,20,0.0,Agree,Agree,Oregon
01/25/2020,IN,0,0.0,0.0,0,0.0,0,0.0,0.0,0,0.0,Not agree,Agree,Indiana
08/13/2020,ND,8322,8322.0,0.0,151,0.0,121,0.0,0.0,1,0.0,Agree,Not agree,North Dakota
05/26/2020,VT,887,0.0,0.0,5,0.0,54,0.0,0.0,0,0.0,Not agree,Not agree,Vermont
01/10/2021,CT,205994,193991.0,12003.0,0,0.0,6324,5127.0,1197.0,0,0.0,Agree,Agree,Connecticut
02/28/2020,CT,0,0.0,0.0,0,0.0,0,0.0,0.0,0,0.0,Agree,Agree,Connecticut
01/08/2021,MA,419721,400823.0,18898.0,8120,485.0,13183,12909.0,274.0,68,0.0,Agree,Agree,Massachusetts
03/09/2020,PA,8,8.0,0.0,3,0.0,0,0.0,0.0,0,0.0,Agree,Not agree,Pennsylvania
08/27/2020,IL,228751,227334.0,1417.0,1707,0.0,8186,7977.0,209.0,23,0.0,Agree,Agree,Illinois
10/12/2021,TN,1259719,988610.0,271109.0,2397,815.0,15828,12599.0,3229.0,14,5.0,Agree,Agree,Tennessee
06/25/2020,PA,88167,85796.0,2371.0,593,22.0,6579,0.0,0.0,22,-44.0,Agree,Not agree,Pennsylvania
11/17/2020,CA,1109080,1094075.0,15005.0,9513,397.0,19452,19452.0,0.0,80,0.0,Agree,Agree,California
05/11/2020,TX,39869,0.0,0.0,1000,0.0,1356,0.0,0.0,34,0.0,Not agree,Not agree,Texas
03/14/2021,AR,326943,0.0,0.0,130,9.0,5474,0.0,0.0,19,11.0,Not agree,Not agree,Arkansas
10/12/2021,CT,395481,358491.0,36990.0,372,23.0,8667,7086.0,1581.0,0,0.0,Agree,Agree,Connecticut
05/16/2021,TN,855610,705960.0,149650.0,351,133.0,12363,9954.0,2409.0,7,1.0,Agree,Agree,Tennessee
08/10/2020,ME,4050,3644.0,406.0,-1,-4.0,126,125.0,1.0,1,0.0,Agree,Agree,Maine
03/03/2020,TN,0,0.0,0.0,0,0.0,0,0.0,0.0,0,0.0,Agree,Agree,Tennessee
04/28/2020,CA,58022,57955.0,67.0,1257,1.0,2292,2292.0,0.0,71,0.0,Agree,Agree,California
03/27/2021,FL,2003197,0.0,0.0,4825,1257.0,34208,0.0,0.0,46,4.0,Not agree,Not agree,Florida
08/25/2021,TN,1031169,830649.0,200520.0,11149,3047.0,13544,10903.0,2641.0,42,5.0,Agree,Agree,Tennessee
01/08/2021,AL,422588,333461.0,89127.0,3922,1137.0,7818,6358.0,1460.0,72,24.0,Agree,Agree,Alabama
04/09/2021,IA,356068,0.0,0.0,615,181.0,5849,0.0,0.0,6,6.0,Not agree,Not agree,Iowa
08/05/2021,OR,225919,225919.0,0.0,1372,0.0,2885,2885.0,0.0,8,0.0,Agree,Agree,Oregon
01/10/2021,DE,66921,64073.0,2848.0,715,14.0,972,869.0,103.0,3,0.0,Agree,Agree,Delaware
11/29/2020,UT,193809,193809.0,0.0,1722,0.0,868,852.0,16.0,5,-1.0,Agree,Agree,Utah
08/30/2020,KS,41048,39861.0,1187.0,0,0.0,443,0.0,0.0,0,0.0,Agree,0,Kansas
03/08/2021,CT,287396,267636.0,19760.0,2066,139.0,7725,6347.0,1378.0,21,1.0,Agree,Agree,Connecticut
02/28/2021,VA,577174,454735.0,122439.0,1124,321.0,8783,7530.0,1253.0,231,35.0,Agree,Agree,Virginia
01/27/2020,NC,0,0.0,0.0,0,0.0,0,0.0,0.0,0,0.0,Agree,Agree,North Carolina
04/20/2020,IN,11686,0.0,0.0,476,0.0,841,741.0,100.0,44,7.0,Not agree,Agree,Indiana
05/11/2020,OH,24777,23400.0,1377.0,696,187.0,1357,1236.0,121.0,16,0.0,Agree,Agree,Ohio
07/06/2020,FL,209565,0.0,0.0,7276,83.0,4345,0.0,0.0,108,1.0,Not agree,Not agree,Florida
02/26/2020,PA,0,0.0,0.0,0,0.0,0,0.0,0.0,0,0.0,Agree,Not agree,Pennsylvania
09/24/2020,NE,42817,0.0,0.0,466,0.0,462,0.0,0.0,0,0.0,Not agree,Not agree,Nebraska
09/02/2021,VA,778167,591108.0,187059.0,4069,1642.0,11899,10054.0,1845.0,19,0.0,Agree,Agree,Virginia
10/14/2021,MT,163527,138979.0,24548.0,1287,454.0,2121,2121.0,0.0,12,0.0,Agree,Agree,Montana
05/03/2021,NE,220718,0.0,0.0,266,0.0,2245,0.0,0.0,0,0.0,Not agree,Not agree,Nebraska
07/29/2021,NC,1051991,891934.0,160057.0,3522,710.0,13725,12098.0,1627.0,17,2.0,Agree,Agree,North Carolina
06/17/2020,DC,9847,0.0,0.0,29,0.0,523,0.0,0.0,3,0.0,0,0,District of Columbia
04/10/2020,NV,2584,0.0,0.0,128,0.0,102,0.0,0.0,17,0.0,Agree,0,Nevada
03/23/2021,MN,507231,0.0,0.0,855,172.0,6857,6419.0,438.0,7,0.0,0,Agree,Minnesota
01/25/2020,VT,0,0.0,0.0,0,0.0,0,0.0,0.0,0,0.0,Not agree,Not agree,Vermont
04/04/2020,ND,186,0.0,0.0,13,0.0,3,0.0,0.0,0,0.0,Agree,Not agree,North Dakota
05/09/2021,MT,109924,99730.0,10194.0,35,4.0,1592,1592.0,0.0,0,0.0,Agree,Agree,Montana
08/04/2020,CO,49548,45930.0,3618.0,529,27.0,1849,1508.0,341.0,5,0.0,Agree,Agree,Colorado
06/08/2021,LA,473879,0.0,0.0,102,129.0,10622,9633.0,989.0,3,-1.0,Not agree,Agree,Louisiana
07/07/2020,NE,20150,0.0,0.0,179,0.0,282,0.0,0.0,-1,0.0,Not agree,Not agree,Nebraska
07/06/2021,OR,209494,209494.0,0.0,117,0.0,2782,2782.0,0.0,1,0.0,Agree,Agree,Oregon
02/25/2020,MS,0,0.0,0.0,0,0.0,0,0.0,0.0,0,0.0,Agree,Agree,Mississippi
08/16/2021,MI,1032520,922687.0,109833.0,1298,112.0,21304,20030.0,1274.0,6,1.0,Agree,Agree,Michigan
10/30/2020,PA,212018,200949.0,11069.0,2511,301.0,8784,0.0,0.0,22,-46.0,Agree,Not agree,Pennsylvania
10/04/2020,MI,246509,223305.0,23204.0,886,72.0,7191,6858.0,333.0,14,2.0,Agree,Agree,Michigan
07/17/2020,NM,16456,0.0,0.0,318,0.0,605,0.0,0.0,5,0.0,0,Not agree,New Mexico
09/03/2021,NM,235390,0.0,0.0,915,0.0,4672,0.0,0.0,14,1.0,0,Not agree,New Mexico
11/05/2020,MA,165161,160698.0,4463.0,1862,101.0,10141,9916.0,225.0,24,0.0,Agree,Agree,Massachusetts
06/29/2021,IL,1391480,1391480.0,0.0,301,0.0,25667,23223.0,2444.0,2,-2.0,Agree,Agree,Illinois
07/29/2020,KS,26870,26327.0,543.0,698,4.0,349,0.0,0.0,14,0.0,Agree,0,Kansas
