submission_date,code,tot_cases,conf_cases,prob_cases,new_case,pnew_case,tot_death,conf_death,prob_death,new_death,pnew_death,consent_cases,consent_deaths,State
04/28/2021,DC,47533,0.0,0.0,62,0.0,1104,0.0,0.0,4,0.0,0,0,District of Columbia
07/31/2021,DC,50502,0.0,0.0,104,0.0,1149,0.0,0.0,0,0.0,0,0,District of Columbia
05/12/2021,DC,48336,0.0,0.0,54,0.0,1115,0.0,0.0,2,0.0,0,0,District of Columbia
04/03/2020,DC,757,0.0,0.0,104,0.0,15,0.0,0.0,3,0.0,0,0,District of Columbia
08/09/2020,DC,12753,0.0,0.0,100,0.0,591,0.0,0.0,1,0.0,0,0,District of Columbia
04/01/2020,DC,586,0.0,0.0,91,0.0,11,0.0,0.0,2,0.0,0,0,District of Columbia
10/05/2021,DC,61863,0.0,0.0,72,0.0,1179,0.0,0.0,1,0.0,0,0,District of Columbia
06/28/2020,DC,10248,0.0,0.0,32,0.0,550,0.0,0.0,2,0.0,0,0,District of Columbia
08/24/2021,DC,54031,0.0,0.0,133,0.0,1155,0.0,0.0,0,0.0,0,0,District of Columbia
02/16/2021,DC,39131,0.0,0.0,130,0.0,982,0.0,0.0,2,0.0,0,0,District of Columbia
10/13/2020,DC,16068,0.0,0.0,46,0.0,637,0.0,0.0,0,0.0,0,0,District of Columbia
07/23/2020,DC,11571,0.0,0.0,42,0.0,581,0.0,0.0,1,0.0,0,0,District of Columbia
09/03/2020,DC,14135,0.0,0.0,58,0.0,609,0.0,0.0,1,0.0,0,0,District of Columbia
09/06/2021,DC,56356,0.0,0.0,146,0.0,1162,0.0,0.0,0,0.0,0,0,District of Columbia
03/07/2021,DC,41419,0.0,0.0,146,0.0,1030,0.0,0.0,0,0.0,0,0,District of Columbia
02/20/2021,DC,39553,0.0,0.0,92,0.0,994,0.0,0.0,1,0.0,0,0,District of Columbia
08/23/2020,DC,13590,0.0,0.0,56,0.0,604,0.0,0.0,0,0.0,0,0,District of Columbia
01/27/2020,DC,0,0.0,0.0,0,0.0,0,0.0,0.0,0,0.0,0,0,District of Columbia
08/02/2021,DC,50718,0.0,0.0,106,0.0,1149,0.0,0.0,0,0.0,0,0,District of Columbia
07/21/2020,DC,11427,0.0,0.0,88,0.0,580,0.0,0.0,1,0.0,0,0,District of Columbia
06/17/2020,DC,9847,0.0,0.0,29,0.0,523,0.0,0.0,3,0.0,0,0,District of Columbia
02/16/2020,DC,0,0.0,0.0,0,0.0,0,0.0,0.0,0,0.0,0,0,District of Columbia
02/28/2020,DC,0,0.0,0.0,0,0.0,0,0.0,0.0,0,0.0,0,0,District of Columbia
04/23/2021,DC,47141,0.0,0.0,101,0.0,1099,0.0,0.0,1,0.0,0,0,District of Columbia
12/22/2020,DC,26900,0.0,0.0,160,0.0,744,0.0,0.0,2,0.0,0,0,District of Columbia
07/20/2021,DC,49827,0.0,0.0,34,0.0,1146,0.0,0.0,0,0.0,0,0,District of Columbia
08/13/2020,DC,13024,0.0,0.0,65,0.0,594,0.0,0.0,1,0.0,0,0,District of Columbia
06/29/2020,DC,10292,0.0,0.0,44,0.0,551,0.0,0.0,1,0.0,0,0,District of Columbia
10/18/2021,DC,63305,0.0,0.0,111,0.0,1184,0.0,0.0,1,0.0,0,0,District of Columbia
11/20/2020,DC,19808,0.0,0.0,130,0.0,669,0.0,0.0,2,0.0,0,0,District of Columbia
10/22/2020,DC,16537,0.0,0.0,39,0.0,642,0.0,0.0,0,0.0,0,0,District of Columbia
11/23/2020,DC,20290,0.0,0.0,139,0.0,672,0.0,0.0,2,0.0,0,0,District of Columbia
07/27/2020,DC,11858,0.0,0.0,78,0.0,582,0.0,0.0,1,0.0,0,0,District of Columbia
05/16/2021,DC,48545,0.0,0.0,15,0.0,1120,0.0,0.0,2,0.0,0,0,District of Columbia
02/25/2020,DC,0,0.0,0.0,0,0.0,0,0.0,0.0,0,0.0,0,0,District of Columbia
11/25/2020,DC,20516,0.0,0.0,107,0.0,677,0.0,0.0,4,0.0,0,0,District of Columbia
08/25/2020,DC,13684,0.0,0.0,45,0.0,604,0.0,0.0,0,0.0,0,0,District of Columbia
01/21/2021,DC,34612,0.0,0.0,209,0.0,864,0.0,0.0,1,0.0,0,0,District of Columbia
10/06/2021,DC,61978,0.0,0.0,115,0.0,1180,0.0,0.0,1,0.0,0,0,District of Columbia
07/28/2020,DC,11945,0.0,0.0,87,0.0,583,0.0,0.0,1,0.0,0,0,District of Columbia
10/16/2020,DC,16255,0.0,0.0,89,0.0,641,0.0,0.0,3,0.0,0,0,District of Columbia
09/06/2020,DC,14279,0.0,0.0,41,0.0,611,0.0,0.0,0,0.0,0,0,District of Columbia
08/11/2020,DC,12896,0.0,0.0,89,0.0,593,0.0,0.0,2,0.0,0,0,District of Columbia
06/24/2020,DC,10128,0.0,0.0,34,0.0,541,0.0,0.0,4,0.0,0,0,District of Columbia
02/06/2021,DC,37877,0.0,0.0,243,0.0,947,0.0,0.0,7,0.0,0,0,District of Columbia
11/21/2020,DC,19961,0.0,0.0,153,0.0,670,0.0,0.0,1,0.0,0,0,District of Columbia
01/04/2021,DC,29904,0.0,0.0,140,0.0,797,0.0,0.0,3,0.0,0,0,District of Columbia
03/09/2020,DC,2,0.0,0.0,1,0.0,0,0.0,0.0,0,0.0,0,0,District of Columbia
03/26/2020,DC,267,0.0,0.0,36,0.0,3,0.0,0.0,0,0.0,0,0,District of Columbia
05/11/2021,NJ,1008607,881171.0,127436.0,561,25.0,25841,23201.0,2640.0,31,0.0,Agree,Agree,New Jersey
07/03/2021,NJ,1024113,893617.0,130496.0,190,5.0,26472,23769.0,2703.0,5,0.0,Agree,Agree,New Jersey
09/12/2020,NJ,200405,0.0,0.0,476,27.0,16027,14238.0,1789.0,4,0.0,Not agree,Agree,New Jersey
06/01/2020,NJ,161293,0.0,0.0,486,13.0,11721,11721.0,0.0,23,0.0,Not agree,Agree,New Jersey
10/08/2021,NJ,1168312,1014968.0,153344.0,1869,346.0,27570,24773.0,2797.0,19,0.0,Agree,Agree,New Jersey
05/07/2021,NJ,1006905,879812.0,127093.0,967,47.0,25769,23129.0,2640.0,29,0.0,Agree,Agree,New Jersey
03/24/2020,NJ,3675,0.0,0.0,831,0.0,44,0.0,0.0,17,0.0,Agree,Agree,New Jersey
02/29/2020,NJ,0,0.0,0.0,0,0.0,0,0.0,0.0,0,0.0,Agree,Agree,New Jersey
06/26/2021,NJ,1022680,892485.0,130195.0,237,60.0,26434,23736.0,2698.0,6,0.0,Agree,Agree,New Jersey
01/24/2021,NJ,662808,595002.0,67806.0,5272,670.0,20951,18830.0,2121.0,17,0.0,Agree,Agree,New Jersey
01/03/2021,NJ,543595,0.0,0.0,4049,379.0,19208,17187.0,2021.0,21,0.0,Not agree,Agree,New Jersey
04/21/2021,NJ,987350,865733.0,121617.0,3475,553.0,25271,22660.0,2611.0,65,19.0,Agree,Agree,New Jersey
11/25/2020,NJ,345133,0.0,0.0,4730,688.0,16886,15057.0,1829.0,67,17.0,Not agree,Agree,New Jersey
06/17/2021,NJ,1020564,890878.0,129686.0,238,56.0,26364,23674.0,2690.0,7,0.0,Agree,Agree,New Jersey
05/30/2021,NJ,1016135,887527.0,128608.0,246,25.0,26207,23537.0,2670.0,6,0.0,Agree,Agree,New Jersey
09/18/2020,NJ,203239,0.0,0.0,538,51.0,16061,14270.0,1791.0,4,0.0,Not agree,Agree,New Jersey
07/23/2020,NJ,179860,0.0,0.0,286,44.0,15730,13810.0,1920.0,23,0.0,Not agree,Agree,New Jersey
05/22/2020,NJ,152989,0.0,0.0,1273,26.0,10985,10985.0,0.0,142,0.0,Not agree,Agree,New Jersey
03/10/2021,NJ,822817,729403.0,93414.0,3775,767.0,23768,21294.0,2474.0,133,77.0,Agree,Agree,New Jersey
03/09/2020,NJ,8,0.0,0.0,2,0.0,0,0.0,0.0,0,0.0,Agree,Agree,New Jersey
03/13/2021,NJ,834715,739249.0,95466.0,4034,850.0,23888,21414.0,2474.0,34,0.0,Agree,Agree,New Jersey
03/07/2020,NJ,6,0.0,0.0,2,0.0,0,0.0,0.0,0,0.0,Agree,Agree,New Jersey
06/20/2020,NJ,169568,0.0,0.0,355,17.0,12857,12857.0,0.0,22,0.0,Not agree,Agree,New Jersey
10/16/2021,NJ,1180388,1025463.0,154925.0,1452,50.0,27720,24917.0,2803.0,28,0.0,Agree,Agree,New Jersey
02/28/2020,NJ,0,0.0,0.0,0,0.0,0,0.0,0.0,0,0.0,Agree,Agree,New Jersey
10/04/2021,NJ,1160878,1009054.0,151824.0,1246,145.0,27488,24691.0,2797.0,16,10.0,Agree,Agree,New Jersey
08/11/2020,NJ,188179,0.0,0.0,474,30.0,15890,14037.0,1853.0,12,0.0,Not agree,Agree,New Jersey
12/15/2020,NJ,450212,0.0,0.0,4607,641.0,17872,16004.0,1868.0,97,0.0,Not agree,Agree,New Jersey
04/18/2021,NJ,978853,858519.0,120334.0,3149,389.0,25143,22551.0,2592.0,9,0.0,Agree,Agree,New Jersey
03/23/2021,NJ,873840,770980.0,102860.0,4803,1406.0,24242,21727.0,2515.0,61,0.0,Agree,Agree,New Jersey
01/17/2021,NJ,627221,565097.0,62124.0,5132,458.0,20439,18348.0,2091.0,25,0.0,Agree,Agree,New Jersey
05/28/2020,NJ,157523,0.0,0.0,578,21.0,11401,11401.0,0.0,62,0.0,Not agree,Agree,New Jersey
09/03/2021,NJ,1098526,957199.0,141327.0,1735,228.0,26929,24198.0,2731.0,10,0.0,Agree,Agree,New Jersey
10/01/2021,NJ,1156243,1005006.0,151237.0,1673,279.0,27443,24656.0,2787.0,16,0.0,Agree,Agree,New Jersey
09/02/2021,NJ,1096791,955692.0,141099.0,2542,466.0,26919,24188.0,2731.0,17,0.0,Agree,Agree,New Jersey
08/24/2020,NJ,192948,0.0,0.0,278,53.0,15949,14120.0,1829.0,3,0.0,Not agree,Agree,New Jersey
04/03/2021,NJ,923396,811726.0,111670.0,4445,689.0,24632,22064.0,2568.0,17,0.0,Agree,Agree,New Jersey
08/24/2021,NJ,1077787,940179.0,137608.0,1857,287.0,26775,24053.0,2722.0,20,0.0,Agree,Agree,New Jersey
09/30/2020,NJ,210588,0.0,0.0,814,102.0,16122,14335.0,1787.0,-175,-184.0,Not agree,Agree,New Jersey
10/28/2020,NJ,243852,0.0,0.0,2091,425.0,16324,14531.0,1793.0,18,4.0,Not agree,Agree,New Jersey
07/11/2021,NJ,1026071,895329.0,130742.0,283,21.0,26505,23796.0,2709.0,4,0.0,Agree,Agree,New Jersey
11/04/2020,NJ,259525,0.0,0.0,3046,614.0,16391,14591.0,1800.0,20,11.0,Not agree,Agree,New Jersey
03/17/2021,NJ,848876,751082.0,97794.0,4313,792.0,24045,21530.0,2515.0,79,41.0,Agree,Agree,New Jersey
02/27/2020,NJ,0,0.0,0.0,0,0.0,0,0.0,0.0,0,0.0,Agree,Agree,New Jersey
